ACCESSION NUMBER	SAMPLE ID	COUNTRY	YEAR
ERR019040	PQ0002-C	Brazil	2008
ERR152407	PQ0003-C	Brazil	2008
ERR018932	PQ0008-C	Brazil	2008
ERR054080	PH0067-C	Cambodia	2009
ERR020103	PH0068-C	Cambodia	2009
ERR152408	PH0075-C	Cambodia	2009
ERR216475	PH0086-C	Cambodia	2009
ERR484723	PH0086-C	Cambodia	2009
ERR484732	PH0086-C	Cambodia	2009
ERR490264	PH0086-C	Cambodia	2009
ERR211557	PH0089-C	Cambodia	2009
ERR484720	PH0089-C	Cambodia	2009
ERR484729	PH0089-C	Cambodia	2009
ERR490261	PH0089-C	Cambodia	2009
ERR216478	PH0098-C	Cambodia	2009
ERR490276	PH0098-C	Cambodia	2009
ERR023039	PH0177-C	Cambodia	2010
ERR023040	PH0178-C	Cambodia	2010
ERR023041	PH0180-C	Cambodia	2010
ERR054082	PH0182-C	Cambodia	2010
ERR211549	PH0184-C	Cambodia	2010
ERR211561	PH0187-C	Cambodia	2010
ERR023042	PH0188-C	Cambodia	2010
ERR027119	PH0190-C	Cambodia	2010
ERR111729	PH0309-C	Cambodia	2010
ERR152410	PH0310-C	Cambodia	2010
ERR216477	PH0312-C	Cambodia	2010
ERR152413	PH0320-C	Cambodia	2010
ERR039234	PH0385-C	Cambodia	2010
ERR123849	PH0591-C	Cambodia	2011
ERR216554	PH0893-C	Cambodia	2012
ERR388742	PH0914-Cx	Cambodia	2011
ERR337538	PH1078-C	Cambodia	2012
ERR490269	PH1078-C	Cambodia	2012
ERR337542	PH1084-C	Cambodia	2012
ERR490277	PH1084-C	Cambodia	2012
ERR386536	PH1109-C	Cambodia	2012
ERR586226	PH1111-C	Cambodia	2012
ERR386537	PH1112-C	Cambodia	2012
ERR490270	PH1112-C	Cambodia	2012
ERR386538	PH1113-C	Cambodia	2012
ERR386539	PH1115-C	Cambodia	2012
ERR490271	PH1115-C	Cambodia	2012
ERR386533	PH1116-C	Cambodia	2012
ERR490266	PH1116-C	Cambodia	2012
ERR386540	PH1117-C	Cambodia	2012
ERR484715	PH1117-C	Cambodia	2012
ERR484724	PH1117-C	Cambodia	2012
ERR490256	PH1117-C	Cambodia	2012
ERR386534	PH1119-C	Cambodia	2012
ERR490267	PH1119-C	Cambodia	2012
ERR386535	PH1121-C	Cambodia	2012
ERR490268	PH1121-C	Cambodia	2012
ERR386541	PH1124-C	Cambodia	2012
ERR386542	PH1125-C	Cambodia	2012
ERR490272	PH1125-C	Cambodia	2012
ERR386543	PH1126-C	Cambodia	2012
ERR490273	PH1126-C	Cambodia	2012
ERR386544	PH1131-C	Cambodia	2012
ERR490274	PH1131-C	Cambodia	2012
